Pendulum
t	alpha	ω	θ	α
0.0			1.5629980935226473	
0.03333333333333303	-52.4104518438749	-2.0383876468163433	1.5172127177411259	
0.06666666666666651	-53.0902762271484	-3.4315375960708687	1.4271055837348914	-42.91763520373843
0.1	-52.798171380600984	-4.90607815497632	1.2884435446697335	-38.00256175555399
0.1333333333333335	-50.18708796493544	-6.021462189989025	1.1000337067364685	-29.297512863926023
0.16666666666666652	-44.920781152194	-6.799683264700911	0.8870127320037995	-19.87592357221967
0.2	-36.62232917129167	-7.385418076395541	0.6467214890897421	-22.881720602018312
0.23333333333333348	-26.216824248095442	-8.222790694305573	0.3946515269107613	-14.672293619912427
0.2666666666666665	-11.957249585419532	-8.571647785358548	0.09853544280270549	0.03433886922888604
0.3	2.3938265219904196	-8.06487022465892	-0.1767916587798073	17.37172062265808
0.3333333333333335	15.55439500625192	-7.460826004295279	-0.4391225721745584	27.511846246299157
0.36666666666666653	26.65333132752356	-6.255461828184547	-0.6741800590661583	39.55537714092441
0.4	34.53306355600695	-4.755297615126301	-0.8561533607201941	40.94418984609726
0.433333333333333	39.67489810892032	-3.5151000365814506	-0.9911999000745775	35.95427314204041
0.46666666666666695	43.1383506780589	-2.3898169431488943	-1.0904933631589584	37.71465588651069
0.5	45.57738075019956	-1.0205849685104347	-1.1505210296178379	44.439164811970905
0.533333333333333	47.0513150763823	0.5925901835107183	-1.1585323610596534	46.95409628562766
0.5666666666666665	47.28309503855525	2.13486904486709	-1.11101501738379	42.2862208335309
0.6	45.98144571593797	3.4139607660956104	-1.0162077580685134	31.986759381424193
0.6333333333333335	42.76464407471343	4.285634835435521	-0.8834176329774149	31.15936342087051
0.6666666666666665	38.28378560018006	5.38255584033104	-0.7304987690394792	28.945347890042733
0.7	30.629016202805005	6.3716084234511206	-0.5245805769553469	18.785803160475293
0.7333333333333335	20.635470618286224	6.57542568848901	-0.3057248741427358	3.95807827557727
0.7666666666666665	9.739645908901188	6.607373624915171	-0.08621886438941376	-4.207616554907842
0.8	-1.6828187459274178	6.3410780556104225	0.13476670085160805	-11.461254650821436
0.8333333333333335	-12.08098617031152	5.794555986140499	0.33651967265128313	-17.36794920388479
0.8666666666666665	-21.083592716221073	5.198931101458961	0.5210704332609732	-20.504136640615968
0.9	-28.488687348821053	4.429685490355352	0.6831150794152132	-26.248216094416208
0.933333333333333	-34.2360812916211	3.4519582154820574	0.8163827992846628	-33.240231509026785
0.966666666666667	-38.43086778985723	2.217635295361391	0.9132456271140181	-38.406074221794874
1.0	-41.057437902293984	0.8674791161177647	0.9642251523087563	-39.36687283333989
1.033333333333333	-42.29160148407962	-0.4097189397789578	0.9710775681885352	-37.20312419006963
1.0666666666666664	-42.261556780502545	-1.6103488363891134	0.9369105563234925	-34.56884570422394
1.1	-40.850229876195186	-2.7189041794109294	0.8637209790959269	-29.32534900323201
1.1333333333333335	-37.764311987422644	-3.5826026262029984	0.755650277696096	-24.710748054070088
1.1666666666666665	-33.24979557316543	-4.330605274669105	0.6248808040157279	-19.936434909336246
1.1999999999999995	-26.89808406022346	-4.949321861376593	0.46694325938482534	-13.880212937477127
1.2333333333333334	-19.03206661402067	-5.245882123913289	0.29492601325728734	-6.400315106605272
1.2666666666666666	-10.299041421119234	-5.365355945972177	0.11721778445727049	1.6719399493808618
1.3	-1.0041718174890493	-5.16540683451859	-0.06276438314085767	9.46154473869272
1.3333333333333335	7.63473681463811	-4.696403406169165	-0.22714267117730322	16.343448104717464
1.3666666666666665	15.334625511670279	-4.0945664109479925	-0.37585794355213425	20.559135300193176
1.4	21.68436965956449	-3.3136746335094096	-0.5001137652405018	25.944674014730452
1.4333333333333331	26.63767171849787	-2.374127084851207	-0.5967695857860948	29.06327861535394
1.466666666666667	29.999211762900718	-1.355542948522135	-0.6583889042305833	29.987301944016167
1.5	31.935199917418934	-0.3783495023773664	-0.6871391156875708	30.211580367630475
1.533333333333333	32.63012746483961	0.6488776602557706	-0.6836122043890741	30.192253760849766
1.5666666666666664	31.855577384541224	1.6544004609892915	-0.6438806050038529	27.870435304210893
1.6	29.604650590914527	2.5058792927177307	-0.5733188403231206	22.057394618397762
1.633333333333333	25.873282214416783	3.1355949898770556	-0.4768219854893376	17.309046459123028
1.666666666666667	21.06012263400941	3.635918341931685	-0.3642791743313163	12.349627219925235
1.7	15.04182118671398	3.9858069146349346	-0.23442742936055783	7.022305824126253
1.733333333333333	8.321599360607754	4.090680131095109	-0.09855871335565669	0.8152708712390923
1.766666666666667	1.3339853263812345	4.040673707597866	0.038284579379117833	-4.3321475036717665
1.8	-5.551689325721904	3.8056589894916497	0.17081953381753606	-10.102023800401106
1.833333333333333	-11.899760714813912	3.3661941640773962	0.29199517867855856	-15.294624843329343
1.866666666666666	-17.314898122418136	2.7789349494207394	0.3952324780893602	-18.88416010357971
1.9	-21.639167571438154	2.10552614158351	0.47725750863994176	-22.47465675037122
1.933333333333334	-24.893758689951387	1.2903009181821252	0.5356008875282636	-24.356795853159802
1.966666666666667	-26.77162281745149	0.4547128259154589	0.563277569852084	-24.108400284796065
2.0	-27.500513570486063	-0.30381625366388376	0.5659150759226272	-23.10254176397568
2.033333333333333	-27.144827479148994	-1.084406161539866	0.5430231529411585	-21.624252007387014
2.066666666666666	-25.515439574461908	-1.7640551901426778	0.49362133181997025	-17.265456758882053
2.1	-22.78926321730714	-2.2325580840614774	0.425419473598313	-12.866271446439901
2.133333333333333	-19.296442731234272	-2.6078388598908906	0.3447841262158713	-10.533780427366969
2.166666666666667	-15.039590587240305	-2.941417828200027	0.2515635496055864	-7.124532654166
2.2	-10.0425607429743	-3.0958368629963657	0.14868960433586756	-1.5286550828657546
2.233333333333333	-4.758970297789161	-3.0353986271529343	0.045174425405830804	3.502962283255236
2.266666666666667	0.4083418330534485	-2.8564690260990253	-0.053670304140995356	7.13855704484169
2.3	5.2758976285516415	-2.564546369384332	-0.14525684300077146	10.823970050703615
2.333333333333333	9.59082082888805	-2.133545874936842	-0.22464006209994908	14.39348831819255
2.3666666666666663	13.113170408906496	-1.6009508684704945	-0.28749323466322707	16.620688832235107
2.4	15.707441563797433	-1.021683538842504	-0.3313701199979824	17.991606709893542
2.433333333333334	17.36853161309721	-0.4041289664599655	-0.3556054705860618	18.345065375561312
2.466666666666667	17.995797346797673	0.20991105032310572	-0.3583120510953135	17.902278332972408
2.5	17.665722967717837	0.785724835763754	-0.34161140056452155	16.624216650680303
2.533333333333333	16.38167318813682	1.3220096815327782	-0.3059303953777301	13.659856881743362
2.566666666666666	14.132998988946062	1.7083395834966189	-0.25347742179567057	7.986718974018959
2.6	11.207144507784335	1.8552768097012808	-0.19204108981128848	4.597867542315318
2.633333333333333	8.187852590615442	1.9826419485499254	-0.12979230114891813	3.50733569320184
2.666666666666667	4.75962570533601	2.117460536144119	-0.05986495990795972	0.4041079815289344
2.7	1.0582457149416595	2.0160350635968336	0.01137173459402456	-3.79233094485574
2.733333333333333	-2.2952631241573562	1.8357083452961893	0.07453737766516114	-5.61866795255716
2.766666666666667	-5.4320580435249965	1.6586489596120244	0.13375229094710422	-8.139319446658387
2.8	-8.298778270287489	1.302015491484674	0.18511397497262977	-11.496090927648574
