Pendulum
t	alpha	ω	θ	α	x	y	v_{x}	v_{y}	a_{x}	a_{y}
0.0			1.5629980935226473		0.001505861306151754	0.1930989659352848				
0.03333333333333303	-51.252379503869726	-2.0383876468163433	1.5172127177411259		0.010377467213043542	0.19348329751603494	0.396007576910019	-0.0033920290152053933		
0.06666666666666651	-51.14071144249898	-3.431537596070865	1.4271055837348914	-42.91763520373837	0.02790636643348629	0.19287283066760447	0.6640423340893811	-0.07669005561218456	7.730487943231511	-4.080942983686082
0.1	-50.01087357782264	-4.906078154976316	1.2884435446697338	-38.00256175555402	0.05464695615233581	0.1883706271418893	0.9160403856699045	-0.27063506147653305	5.585043763610011	-6.699195115228567
0.1333333333333335	-46.76610529782375	-6.021462189989026	1.1000337067364687	-29.297512863926105	0.08897572547814689	0.1748304932358356	1.0467479006855158	-0.5352609151863926	1.6075073369917585	-8.755857460898916
0.16666666666666652	-41.057666537098555	-6.799683264700913	0.8870127320037996	-19.875923572219598	0.12443014953137005	0.15268656612946313	1.0182540574500218	-0.8459218623646979	-3.0545162245847077	-9.163578686626472
0.2	-32.4264401278086	-7.3854180763955375	0.6467214890897423	-22.881720602018323	0.1568593293081482	0.1184357024115224	0.8458784555113991	-1.160605029826361	-6.76003430987706	-9.875607843129208
0.23333333333333348	-21.545197398511597	-8.222790694305573	0.3946515269107616	-14.672293619912354	0.1808220465654636	0.07531289747437214	0.5604202538112227	-1.4885385456913074	-10.67328145352315	-6.548081893210026
0.2666666666666665	-7.08742601481743	-8.571647785358545	0.0985354428027056	0.03433886922887177	0.19422067956222963	0.019199799365435588	0.14403973876843135	-1.6400036723853517	-12.841614792761144	-0.6919876027167875
0.3	6.975733769856676	-8.064870224658916	-0.17679165877980674	17.37172062265808	0.19042469581669227	-0.03402068068465103	-0.3176335680004537	-1.5072098537417338	-11.112077492743758	5.270018391570932
0.3333333333333335	19.7931256729435	-7.460826004295282	-0.4391225721745581	27.5118462462991	0.17304510836219925	-0.08128085755068043	-0.6060418094587877	-1.2878836589966165	-5.786447763077367	8.120648232488534
0.36666666666666653	30.20725657255398	-6.255461828184545	-0.674180059066158	39.55537714092441	0.1500219085194399	-0.11987959128442532	-0.6975034470919675	-0.9685445500211116	-0.8856056630332547	9.661053671864526
0.4	37.23469817647349	-4.7552976151263024	-0.8561533607201937	40.94418984609726	0.1265448785560682	-0.14585049421875435	-0.661105865706986	-0.6296134638089023	2.0623772239301204	8.650301674928517
0.433333333333333	41.67193735269422	-3.5151000365814506	-0.9911999000745773	35.95427314204041	0.1059481841389742	-0.1618538222050187	-0.5555955924322918	-0.38918680687312385	3.892361709344334	6.127172552259228
0.46666666666666695	44.49608109006322	-2.3898169431488943	-1.090493363158958	37.71465588651075	0.08950517239391526	-0.17179628134362934	-0.40289881262163335	-0.22673854856970757	5.748400855521566	4.4695637796179355
0.5	46.15720727362996	-1.0205849685104347	-1.1505210296178376	44.43916481197079	0.07908826329753185	-0.17696972544299922	-0.17507643932847297	-0.09269464026777632	7.503896504526759	4.202826343050241
0.533333333333333	46.71464589495639	0.592590183510715	-1.158532361059653	46.95409628562771	0.07783340977201716	-0.17797592402814766	0.10354390025727533	0.0496806627982173	8.008193305562472	4.322543555083091
0.5666666666666665	46.07020857201133	2.134869044867087	-1.11101501738379	42.28622083353104	0.08599118998135019	-0.17365768125645142	0.36266292317402665	0.19938704395507204	6.697435472311512	4.717720162528195
0.6	44.04186688300442	3.413960766095619	-1.0162077580685132	31.986759381424193	0.10201093798361904	-0.16468345443114274	0.5531923945891302	0.35980088601445526	3.935561689111768	5.001911107027127
0.6333333333333335	40.32983969879794	4.285634835435519	-0.8834176329774144	31.159363420870395	0.12287068295395911	-0.14967095552215426	0.6285373322994181	0.536452232492588	1.9179897386057598	6.686962127606928
0.6666666666666665	35.22578578991025	5.382555840331037	-0.7304987690394791	28.945347890042765	0.14391342680358019	-0.12891997226497032	0.6664476209357446	0.7929123094029963	-0.5413832532296332	7.489120507221577
0.7	27.009104412195743	6.371608423451126	-0.5245805769553465	18.785803160475414	0.16730052434967527	-0.09681013489528806	0.6145392952512397	1.0585090012575802	-3.9143796253264522	6.182126125292358
0.7333333333333335	16.899763808302442	6.5754256884890125	-0.3057248741427353	3.958078275577155	0.18488271315366303	-0.05835270551446464	0.3945719938925617	1.20114327346194	-7.215627962824979	3.194320142819566
